source	swedish_phrase	source_tag	norwegian_candidate	proposed_category	proposed_direction	review_status	clinical_reviewer	reviewed_date	review_notes
Skeppstedt 2011	saknas	post	mangler	NEGATED_EXISTENCE	BACKWARD	pending			
Skeppstedt 2011	saknas	post	savnes	NEGATED_EXISTENCE	BACKWARD	pending			Drifts toward "is missed"; review before use.
Skeppstedt 2011	negativt	post	negativt	NEGATED_EXISTENCE	BACKWARD	pending			
Skeppstedt 2011	osannolikt	post	usannsynlig	POSSIBLE_EXISTENCE	BIDIRECTIONAL	pending			Uncertain: may be hedge rather than hard negation.
Skeppstedt 2011	inget avvikande	post	intet avvikende	NEGATED_EXISTENCE	BACKWARD	pending			
Skeppstedt 2011	inget avvikande	post	ingen avvikende funn	NEGATED_EXISTENCE	BACKWARD	pending			
Skeppstedt 2011	inget avvikande	post	i.a.b.	NEGATED_EXISTENCE	BACKWARD	pending			Abbreviation for "intet å bemerke"; scope needs review.
Skeppstedt 2011	förnekas	post	benektes	NEGATED_EXISTENCE	BACKWARD	pending			False-friend check: prefer benekte over fornekte.
Skeppstedt 2011	inte	pren	ikke	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	ej	pren	ej	NEGATED_EXISTENCE	FORWARD	pending			Used in some charting; review actual local usage.
Skeppstedt 2011	ej	pren	ikke	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	ingen	pren	ingen	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	utan	pren	uten	NEGATED_EXISTENCE	FORWARD	pending			False friend: do not keep Swedish/Nynorsk "utan".
Skeppstedt 2011	inga	pren	ingen	NEGATED_EXISTENCE	FORWARD	pending			Bokmal plural candidate.
Skeppstedt 2011	inget	pren	intet	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	inget	pren	ingenting	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	har inte	pren	har ikke	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	inga tecken	pren	ingen tegn	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	inga tecken	pren	ingen tegn til	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	kan inte	pren	kan ikke	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	inte har	pren	ikke har	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	utesluta	pren	utelukke	NEGATED_EXISTENCE	FORWARD	pending			False-friend spelling check.
Skeppstedt 2011	förnekar	pren	benekter	NEGATED_EXISTENCE	FORWARD	pending			False-friend check: prefer benekte over fornekte.
Skeppstedt 2011	inte kan	pren	ikke kan	NEGATED_EXISTENCE	FORWARD	pending			
Skeppstedt 2011	icke	pren	ikke	NEGATED_EXISTENCE	FORWARD	pending			
